"V01.00.000"
"$_Languages"
"9(1) Englisch (USA)";"7(1) Deutsch (Deutschland)";"513(1) Key"
"Spindeltemperatur von PT100 als REAL";"Spindeltemperatur von PT100 als REAL";""
"0022...0023: vorläufige Platzhaltervariable";"0022...0023: vorläufige Platzhaltervariable";""
"0024...0027: RüstPlatzTür-Folgen";"0024...0027: RüstPlatzTür-Folgen";""
"Vorzeichen-Bit";"Vorzeichen-Bit";""
"I1: 00-01-02-03-00 Roboter: Spannen";"I1: 00-01-02-03-00 Roboter: Spannen";""
"K1: 00-01-02-08-00 Roboter: Entspannen";"K1: 00-01-02-08-00 Roboter: Entspannen";""
"L1: 00-07-00 Roboter: PW-FG (mit SPH ohne RP-Achse)";"L1: 00-07-00 Roboter: PW-FG (mit SPH ohne RP-Achse)";""
"L2: 00-01-10-07-00 Roboter: PW-FG (mit SPH mit RP-Achse)";"L2: 00-01-10-07-00 Roboter: PW-FG (mit SPH mit RP-Achse)";""
"M1: 00-01-11-00 RP-Achse positionieren (Rob/Taste)";"M1: 00-01-11-00 RP-Achse positionieren (Rob/Taste)";""
"D2: 00-05-00 Abkuppeln (Auftrag vom RS)";"D2: 00-05-00 Abkuppeln (Auftrag vom RS)";""
"E8: 00-04-07-00 PW-FG SpH ohne PROP ohne Rüstplatz-Achse";"E8: 00-04-07-00 PW-FG SpH ohne PROP ohne Rüstplatz-Achse";""
"E3: 00-04-10-07-00 PW-FG (ABST_SPH=1;ABST_RPAx=1)";"E3: 00-04-10-07-00 PW-FG (ABST_SPH=1;ABST_RPAx=1)";""
"E4: 00-04-10-07-00 PW-FG (ABST_SPH=0;ABST_RPAx=1)";"E4: 00-04-10-07-00 PW-FG (ABST_SPH=0;ABST_RPAx=1)";""
"E5: 00-04-01-02-03-07-00 PW-FG Spannen ohne RP-Achse (Auto)";"E5: 00-04-01-02-03-07-00 PW-FG Spannen ohne RP-Achse (Auto)";""
"E6: 00-04-01-02-03-10-07-00 PW-FG Spannen mit RP-Achse(Auto)";"E6: 00-04-01-02-03-10-07-00 PW-FG Spannen mit RP-Achse(Auto)";""
"F1: 00-04-01-02-03-00 Spannen mit RPT schließen";"F1: 00-04-01-02-03-00 Spannen mit RPT schließen";""
"G1: 00-04-01-02-08-09-00 Entspannen mit RPT schließen+öffnen";"G1: 00-04-01-02-08-09-00 Entspannen mit RPT schließen+öffnen";""
"H1: 00-04-00 Roboter: RPT schließen";"H1: 00-04-00 Roboter: RPT schließen";""
"H2: 00-09-00 Roboter: RPT öffnen";"H2: 00-09-00 Roboter: RPT öffnen";""
"A1: 00-01-02-03-00 Spannen bei offener RPT";"A1: 00-01-02-03-00 Spannen bei offener RPT";""
"B1: 00-01-02-08-00 Entspannen bei offener RPT";"B1: 00-01-02-08-00 Entspannen bei offener RPT";""
"C1: 00-04-00 RPT schließen + verriegeln";"C1: 00-04-00 RPT schließen + verriegeln";""
"C2: 00-09-00 RPT entriegeln + öffnen";"C2: 00-09-00 RPT entriegeln + öffnen";""
"D1: 00-01-02-00 Ankuppeln (Auftrag vom RS)";"D1: 00-01-02-00 Ankuppeln (Auftrag vom RS)";""
"E7: 00-04-07-00 PW-FG bei Nullpunktspannungssystem";"E7: 00-04-07-00 PW-FG bei Nullpunktspannungssystem";""
"E1: 00-04-07-00 PW-FG (ABST_SPH=1;ABST_RPAx=0)";"E1: 00-04-07-00 PW-FG (ABST_SPH=1;ABST_RPAx=0)";""
"E2: 00-04-07-00 PW-FG (ABST_SPH=0;ABST_RPAx=0)";"E2: 00-04-07-00 PW-FG (ABST_SPH=0;ABST_RPAx=0)";""
"0028...0029: RüstPlatzTür-Zustände";"0028...0029: RüstPlatzTür-Zustände";""
"Z08: Entspannen";"Z08: Entspannen";""
"Z09: RPT öffnen";"Z09: RPT öffnen";""
"Z10: RP-Achse auf 0-Grad positionieren für PW";"Z10: RP-Achse auf 0-Grad positionieren für PW";""
"Z11: RP-Achse positionieren";"Z11: RP-Achse positionieren";""
"Z15: Abbruch";"Z15: Abbruch";""
"Z00: Grundstellung";"Z00: Grundstellung";""
"Z01: Paletten-Klemmung einschalten";"Z01: Paletten-Klemmung einschalten";""
"Z02: Ankuppeln";"Z02: Ankuppeln";""
"Z03: Spannen";"Z03: Spannen";""
"Z04: RPT schließen";"Z04: RPT schließen";""
"Z05: Abkuppeln";"Z05: Abkuppeln";""
"Z06: Paletten-Klemmung ausschalten";"Z06: Paletten-Klemmung ausschalten";""
"Z07: PW-Freigabe aktivieren";"Z07: PW-Freigabe aktivieren";""
"0030...0031: RüstPlatzTür fertig";"0030...0031: RüstPlatzTür fertig";""
"Z08-fertig: Entspannen";"Z08-fertig: Entspannen";""
"Z09-fertig: RPT öffnen";"Z09-fertig: RPT öffnen";""
"Z10-fertig: RP-Achse auf 0-Grad positionieren für PW";"Z10-fertig: RP-Achse auf 0-Grad positionieren für PW";""
"Z11-fertig: RP-Achse positionieren";"Z11-fertig: RP-Achse positionieren";""
"Z12-fertig:";"Z12-fertig:";""
"Z13-fertig:";"Z13-fertig:";""
"Z14-fertig:";"Z14-fertig:";""
"Z15-fertig: Abbruch";"Z15-fertig: Abbruch";""
"Z00-fertig: Grundstellung";"Z00-fertig: Grundstellung";""
"Z01-fertig: Paletten-Klemmung einschalten";"Z01-fertig: Paletten-Klemmung einschalten";""
"Z02-fertig: Ankuppeln";"Z02-fertig: Ankuppeln";""
"Z03-fertig: Spannen";"Z03-fertig: Spannen";""
"Z04-fertig: RPT schließen";"Z04-fertig: RPT schließen";""
"Z05-fertig: Abkuppeln";"Z05-fertig: Abkuppeln";""
"Z06-fertig: Paletten-Klemmung ausschalten";"Z06-fertig: Paletten-Klemmung ausschalten";""
"Z07-fertig: PW-Freigabe aktivieren";"Z07-fertig: PW-Freigabe aktivieren";""
"0032...0039: Drehbarer Rüstplatz";"0032...0039: Drehbarer Rüstplatz";""
"INT: Bereich";"INT: Bereich";""
"INT: Position";"INT: Position";""
"[PLC>>>NC] Achse am RPL auf 0-Grad drehen";"[PLC>>>NC] Achse am RPL auf 0-Grad drehen";""
"[PLC>>>NC] Achse am RPL in positive Richtung verfahren";"[PLC>>>NC] Achse am RPL in positive Richtung verfahren";""
"[PLC>>>NC] Achse am RPL in negative Richtung verfahren";"[PLC>>>NC] Achse am RPL in negative Richtung verfahren";""
"[PLC>>>NC] Achse am RPL positionieren";"[PLC>>>NC] Achse am RPL positionieren";""
"Bef. RPL-Achse positiv verfahren";"Bef. RPL-Achse positiv verfahren";""
"Bef. RPL-Achse negativ verfahren";"Bef. RPL-Achse negativ verfahren";""
"Bef. RPL-Achse positionieren";"Bef. RPL-Achse positionieren";""
"Impuls Position erreicht";"Impuls Position erreicht";""
"FP-Merker für Position erreicht";"FP-Merker für Position erreicht";""
"Anf. RPL-Achse Klemmung klemmen";"Anf. RPL-Achse Klemmung klemmen";""
"Anf. RPL-Achse Klemmung lösen";"Anf. RPL-Achse Klemmung lösen";""
"Impuls Rüstplatz-Taste: Achse in positiver Richtung drehen";"Impuls Rüstplatz-Taste: Achse in positiver Richtung drehen";""
"0040...0053: frei";"0040...0053: frei";""
"0054...0055: Anforderungen an Spannhydraulik";"0054...0055: Anforderungen an Spannhydraulik";""
"Anforderung: Spannen für Spannkreis 1 (Rüstplatz)";"Anforderung: Spannen für Spannkreis 1 (Rüstplatz)";""
"Anforderung: Ankuppeln für Spannkreis 1 (Rüstplatz)";"Anforderung: Ankuppeln für Spannkreis 1 (Rüstplatz)";""
"Anforderung: Entspannen für Spannkreis 1 (Rüstplatz)";"Anforderung: Entspannen für Spannkreis 1 (Rüstplatz)";""
"Anforderung: Abkuppeln für Spannkreis 1 (Rüstplatz)";"Anforderung: Abkuppeln für Spannkreis 1 (Rüstplatz)";""
"Anforderung: Druck 0 für Spannkreis 1 (Rüstplatz)";"Anforderung: Druck 0 für Spannkreis 1 (Rüstplatz)";""
"0056...0061: Rüstplatz abblasen";"0056...0061: Rüstplatz abblasen";""
"HM1 für Flanke Rüstplatz Abblasen Spannstelle 1";"HM1 für Flanke Rüstplatz Abblasen Spannstelle 1";""
"HM2 für Flanke Rüstplatz Abblasen Spannstelle 2";"HM2 für Flanke Rüstplatz Abblasen Spannstelle 2";""
"HM2 für Flanke Rüstplatz Abblasen Spannstelle 3";"HM2 für Flanke Rüstplatz Abblasen Spannstelle 3";""
"HM2 für Flanke Rüstplatz Abblasen Spannstelle 4";"HM2 für Flanke Rüstplatz Abblasen Spannstelle 4";""
"Zeit für Impuls Vorrichtung Rüstplatz abblasen [init: 60 s]";"Zeit für Impuls Vorrichtung Rüstplatz abblasen [init: 60 s]";""
"0062...0065: frei";"0062...0065: frei";""
"0066...0079: RüstPlatzTür";"0066...0079: RüstPlatzTür";""
"STATUS: Folge letzter PLC-Zyklus Folgen";"STATUS: Folge letzter PLC-Zyklus Folgen";""
"RPT-Folge-Abbruch wurde aktiviert";"RPT-Folge-Abbruch wurde aktiviert";""
"RPT-Folgen-Abbruch auslösen";"RPT-Folgen-Abbruch auslösen";""
"HM PI Zustand 00: Grundstellung";"HM PI Zustand 00: Grundstellung";""
"letzte RPT-Funktion: 1=Schließen  0=Öffnen";"letzte RPT-Funktion: 1=Schließen  0=Öffnen";""
"PW in GRST und NC-PW-Ablauf nicht aktiv";"PW in GRST und NC-PW-Ablauf nicht aktiv";""
"HM NI PW-Freigabe";"HM NI PW-Freigabe";""
"NOTAUS oder Schutzleiste wurde aktiviert";"NOTAUS oder Schutzleiste wurde aktiviert";""
"Freigabe RPT-Tür-Zylinder öffnen";"Freigabe RPT-Tür-Zylinder öffnen";""
"Freigabe RPT-Tür-Zylinder schließen";"Freigabe RPT-Tür-Zylinder schließen";""
"Anforderung Rüstplatz-Achse (+)Fahren";"Anforderung Rüstplatz-Achse (+)Fahren";""
"Anforderung Rüstplatz-Achse (-)Fahren";"Anforderung Rüstplatz-Achse (-)Fahren";""
"Meldung auf Position bei (+/-)Fahren";"Meldung auf Position bei (+/-)Fahren";""
"HMI: SpH-Hand: Anforderung Palette auf Rüstplatz klemmen";"HMI: SpH-Hand: Anforderung Palette auf Rüstplatz klemmen";""
"HMI: SpH-Hand: Anforderung Palette auf Rüstplatz loesen";"HMI: SpH-Hand: Anforderung Palette auf Rüstplatz loesen";""
"HM SemiAuto Spannen SpK2-St_1";"HM SemiAuto Spannen SpK2-St_1";""
"HM SemiAuto Spannen SpK2-St_2";"HM SemiAuto Spannen SpK2-St_2";""
"HM SemiAuto Entspannen SpK2-St_1";"HM SemiAuto Entspannen SpK2-St_1";""
"HM SemiAuto Entspannen SpK2-St_2";"HM SemiAuto Entspannen SpK2-St_2";""
"HM SemiAuto Rüstplatztür öffnen";"HM SemiAuto Rüstplatztür öffnen";""
"HM SemiAuto Rüstplatztür schließen";"HM SemiAuto Rüstplatztür schließen";""
"Letzte PW-Stellung: 0=0-Grad / 1=180-Grad";"Letzte PW-Stellung: 0=0-Grad / 1=180-Grad";""
"HMI: ""Automatisch-Starten"" ist angewählt";"HMI: ""Automatisch-Starten"" ist angewählt";""
"HMI: ""Tür auf nach Programm-Ende"" ist angewählt";"HMI: ""Tür auf nach Programm-Ende"" ist angewählt";""
"PW-Freigabe am Rüstplatz OHNE Rundspeicher ist aktiv";"PW-Freigabe am Rüstplatz OHNE Rundspeicher ist aktiv";""
"HM PI Auslöser Rüstplatz freigeben";"HM PI Auslöser Rüstplatz freigeben";""
"Speicher Zustand vom letzten PLC-Zyklus";"Speicher Zustand vom letzten PLC-Zyklus";""
"HMI Druck-Vorgabe SK2 (Maschine) St_1";"HMI Druck-Vorgabe SK2 (Maschine) St_1";""
"HMI Druck-Vorgabe SK2 (Maschine) St_2";"HMI Druck-Vorgabe SK2 (Maschine) St_2";""
"PI Auslöser Spannen";"PI Auslöser Spannen";""
"HM PI Auslöser Spannen";"HM PI Auslöser Spannen";""
"PI Auslöser Entspannen";"PI Auslöser Entspannen";""
"HM PI Auslöser Entspannen";"HM PI Auslöser Entspannen";""
"an RS: externes Spannsystem (NPSp oder SpHyd) vorhanden";"an RS: externes Spannsystem (NPSp oder SpHyd) vorhanden";""
"RundSpeicher Rüstplatz Freigabe";"RundSpeicher Rüstplatz Freigabe";""
"von RS: Rüstplatz Anforderung ankuppeln";"von RS: Rüstplatz Anforderung ankuppeln";""
"an RS: Rüstplatz Rückmeldung angekuppelt";"an RS: Rüstplatz Rückmeldung angekuppelt";""
"von RS: Rüstplatz Anforderung abkuppeln";"von RS: Rüstplatz Anforderung abkuppeln";""
"an RS: Rüstplatz Rückmeldung abgekuppelt";"an RS: Rüstplatz Rückmeldung abgekuppelt";""
"HM PI Rüstplatz: RS-Anforderung ankuppeln";"HM PI Rüstplatz: RS-Anforderung ankuppeln";""
"HM PI Rüstplatz: RS-Anforderung abkuppeln";"HM PI Rüstplatz: RS-Anforderung abkuppeln";""
"Anforderung Rüstplatztür am Palettenspeicher schliessen";"Anforderung Rüstplatztür am Palettenspeicher schliessen";""
"VSM-intern Freigabe Palette am RPL-Rundspeicher";"VSM-intern Freigabe Palette am RPL-Rundspeicher";""
"HM PI Taste ""Maschine entladen""";"HM PI Taste ""Maschine entladen""";""
"HM PI RPL in GRST nach Paletten-Ablauf";"HM PI RPL in GRST nach Paletten-Ablauf";""
"0080...0141: alter HAWE-Bereich (nicht erweitert)";"0080...0141: alter HAWE-Bereich (nicht erweitert)";""
"SK1_RPL / St 1: Druck-Vorgabe [0.1 bar]";"SK1_RPL / St 1: Druck-Vorgabe [0.1 bar]";""
"SK1_RPL / St 2: Druck-Vorgabe [0.1 bar]";"SK1_RPL / St 2: Druck-Vorgabe [0.1 bar]";""
"SK1_RPL / St 3: Druck-Vorgabe [0.1 bar]";"SK1_RPL / St 3: Druck-Vorgabe [0.1 bar]";""
"SK1_RPL / St 4: Druck-Vorgabe [0.1 bar]";"SK1_RPL / St 4: Druck-Vorgabe [0.1 bar]";""
"SK2_MPL / St 1: Druck-Vorgabe [0.1 bar]";"SK2_MPL / St 1: Druck-Vorgabe [0.1 bar]";""
"SK2_MPL / St 2: Druck-Vorgabe [0.1 bar]";"SK2_MPL / St 2: Druck-Vorgabe [0.1 bar]";""
"SK2_MPL / St 3: Druck-Vorgabe [0.1 bar]";"SK2_MPL / St 3: Druck-Vorgabe [0.1 bar]";""
"SK2_MPL / St 4: Druck-Vorgabe [0.1 bar]";"SK2_MPL / St 4: Druck-Vorgabe [0.1 bar]";""
"SK1_RPL / St 1: Befehl Entspannen";"SK1_RPL / St 1: Befehl Entspannen";""
"SK1_RPL / St 1: Befehl Druck=0 anlegen";"SK1_RPL / St 1: Befehl Druck=0 anlegen";""
"SK1_RPL / St 1: Befehl Spannen";"SK1_RPL / St 1: Befehl Spannen";""
"SK1_RPL / St 1: Meldung NOTAUS";"SK1_RPL / St 1: Meldung NOTAUS";""
"SK1_RPL / St 1: ABST SPH ist aktiv";"SK1_RPL / St 1: ABST SPH ist aktiv";""
"SK1_RPL / St 1: res 1";"SK1_RPL / St 1: res 1";""
"SK1_RPL / St 1: res 2";"SK1_RPL / St 1: res 2";""
"SK1_RPL / St 1: res 3";"SK1_RPL / St 1: res 3";""
"SK1_RPL / St 2: Befehl Entspannen";"SK1_RPL / St 2: Befehl Entspannen";""
"SK1_RPL / St 2: Befehl Druck=0 anlegen";"SK1_RPL / St 2: Befehl Druck=0 anlegen";""
"SK1_RPL / St 2: Befehl Spannen";"SK1_RPL / St 2: Befehl Spannen";""
"SK1_RPL / St 2: Meldung NOTAUS";"SK1_RPL / St 2: Meldung NOTAUS";""
"SK1_RPL / St 2: ABST SPH ist aktiv";"SK1_RPL / St 2: ABST SPH ist aktiv";""
"SK1_RPL / St 2: res 1";"SK1_RPL / St 2: res 1";""
"SK1_RPL / St 2: res 2";"SK1_RPL / St 2: res 2";""
"SK1_RPL / St 2: res 3";"SK1_RPL / St 2: res 3";""
"SK1_RPL / St 3: Befehl Entspannen";"SK1_RPL / St 3: Befehl Entspannen";""
"SK1_RPL / St 3: Befehl Druck=0 anlegen";"SK1_RPL / St 3: Befehl Druck=0 anlegen";""
"SK1_RPL / St 3: Befehl Spannen";"SK1_RPL / St 3: Befehl Spannen";""
"SK1_RPL / St 3: Meldung NOTAUS";"SK1_RPL / St 3: Meldung NOTAUS";""
"SK1_RPL / St 3: ABST SPH ist aktiv";"SK1_RPL / St 3: ABST SPH ist aktiv";""
"SK1_RPL / St 3: res 1";"SK1_RPL / St 3: res 1";""
"SK1_RPL / St 3: res 2";"SK1_RPL / St 3: res 2";""
"SK1_RPL / St 3: res 3";"SK1_RPL / St 3: res 3";""
"SK1_RPL / St 4: Befehl Entspannen";"SK1_RPL / St 4: Befehl Entspannen";""
"SK1_RPL / St 4: Befehl Druck=0 anlegen";"SK1_RPL / St 4: Befehl Druck=0 anlegen";""
"SK1_RPL / St 4: Befehl Spannen";"SK1_RPL / St 4: Befehl Spannen";""
"SK1_RPL / St 4: Meldung NOTAUS";"SK1_RPL / St 4: Meldung NOTAUS";""
"SK1_RPL / St 4: ABST SPH ist aktiv";"SK1_RPL / St 4: ABST SPH ist aktiv";""
"SK1_RPL / St 4: res 1";"SK1_RPL / St 4: res 1";""
"SK1_RPL / St 4: res 2";"SK1_RPL / St 4: res 2";""
"SK1_RPL / St 4: res 3";"SK1_RPL / St 4: res 3";""
"SK2_MPL / St 1: Befehl Entspannen";"SK2_MPL / St 1: Befehl Entspannen";""
"SK2_MPL / St 1: Befehl Druck=0 anlegen";"SK2_MPL / St 1: Befehl Druck=0 anlegen";""
"SK2_MPL / St 1: Befehl Spannen";"SK2_MPL / St 1: Befehl Spannen";""
"SK2_MPL / St 1: Meldung NOTAUS";"SK2_MPL / St 1: Meldung NOTAUS";""
"SK2_MPL / St 1: ABST SPH ist aktiv";"SK2_MPL / St 1: ABST SPH ist aktiv";""
"SK2_MPL / St 1: res 1";"SK2_MPL / St 1: res 1";""
"SK2_MPL / St 1: res 2";"SK2_MPL / St 1: res 2";""
"SK2_MPL / St 1: res 3";"SK2_MPL / St 1: res 3";""
"SK2_MPL / St 2: Befehl Entspannen";"SK2_MPL / St 2: Befehl Entspannen";""
"SK2_MPL / St 2: Befehl Druck=0 anlegen";"SK2_MPL / St 2: Befehl Druck=0 anlegen";""
"SK2_MPL / St 2: Befehl Spannen";"SK2_MPL / St 2: Befehl Spannen";""
"SK2_MPL / St 2: Meldung NOTAUS";"SK2_MPL / St 2: Meldung NOTAUS";""
"SK2_MPL / St 2: ABST SPH ist aktiv";"SK2_MPL / St 2: ABST SPH ist aktiv";""
"SK2_MPL / St 2: res 1";"SK2_MPL / St 2: res 1";""
"SK2_MPL / St 2: res 2";"SK2_MPL / St 2: res 2";""
"SK2_MPL / St 2: res 3";"SK2_MPL / St 2: res 3";""
"SK2_MPL / St 3: Befehl Entspannen";"SK2_MPL / St 3: Befehl Entspannen";""
"SK2_MPL / St 3: Befehl Druck=0 anlegen";"SK2_MPL / St 3: Befehl Druck=0 anlegen";""
"SK2_MPL / St 3: Befehl Spannen";"SK2_MPL / St 3: Befehl Spannen";""
"SK2_MPL / St 3: Meldung NOTAUS";"SK2_MPL / St 3: Meldung NOTAUS";""
"SK2_MPL / St 3: ABST SPH ist aktiv";"SK2_MPL / St 3: ABST SPH ist aktiv";""
"SK2_MPL / St 3: res 1";"SK2_MPL / St 3: res 1";""
"SK2_MPL / St 3: res 2";"SK2_MPL / St 3: res 2";""
"SK2_MPL / St 3: res 3";"SK2_MPL / St 3: res 3";""
"SK2_MPL / St 4: Befehl Entspannen";"SK2_MPL / St 4: Befehl Entspannen";""
"SK2_MPL / St 4: Befehl Druck=0 anlegen";"SK2_MPL / St 4: Befehl Druck=0 anlegen";""
"SK2_MPL / St 4: Befehl Spannen";"SK2_MPL / St 4: Befehl Spannen";""
"SK2_MPL / St 4: Meldung NOTAUS";"SK2_MPL / St 4: Meldung NOTAUS";""
"SK2_MPL / St 4: ABST SPH ist aktiv";"SK2_MPL / St 4: ABST SPH ist aktiv";""
"SK2_MPL / St 4: res 1";"SK2_MPL / St 4: res 1";""
"SK2_MPL / St 4: res 2";"SK2_MPL / St 4: res 2";""
"SK2_MPL / St 4: res 3";"SK2_MPL / St 4: res 3";""
"SpKr-Funktion: Befehl SK2_MPL (Rüstplatz) ankuppeln";"SpKr-Funktion: Befehl SK2_MPL (Rüstplatz) ankuppeln";""
"SpKr-Funktion: Befehl SK2_MPL (Rüstplatz) abkuppeln";"SpKr-Funktion: Befehl SK2_MPL (Rüstplatz) abkuppeln";""
"SpKr-Funktion:";"SpKr-Funktion:";""
"Diagnose: SK1_RPL Befehl TEACH IN";"Diagnose: SK1_RPL Befehl TEACH IN";""
"Diagnose: SK2_MPL Befehl TEACH IN";"Diagnose: SK2_MPL Befehl TEACH IN";""
"Diagnose: Lebenszeichen-Überwachung";"Diagnose: Lebenszeichen-Überwachung";""
"INT_165: Tol(+/-) ""Druck erreicht"" beim Spannen (init: 3bar)";"INT_165: Tol(+/-) ""Druck erreicht"" beim Spannen (init: 3bar)";""
"INT_166: Tol(-) ""Nachregeln"" (init: 10bar) / FD: Impuls-AUS-Zeit [10ms]";"INT_166: Tol(-) ""Nachregeln"" (init: 10bar) / FD: Impuls-AUS-Zeit [10ms]";""
"INT_167: Tol(-) ""Druckabfall NOTAUS"" (init: 25bar) / FD: Impuls-EIN-Zeit [10ms]";"INT_167: Tol(-) ""Druckabfall NOTAUS"" (init: 25bar) / FD: Impuls-EIN-Zeit [10ms]";""
"INT_168: %-Vorgabe vom SOLL-Wert zum Steuern (initial: 90%)";"INT_168: %-Vorgabe vom SOLL-Wert zum Steuern (initial: 90%)";""
"INT_169: %-Vorgabe vom SOLL-Wert für Übergang Regelung (initial: 80%)";"INT_169: %-Vorgabe vom SOLL-Wert für Übergang Regelung (initial: 80%)";""
"INT_184: Druckvorgabe für Vorrichtung öffnen (initial: 150bar)";"INT_184: Druckvorgabe für Vorrichtung öffnen (initial: 150bar)";""
"INT_185: Druckvorgabe RV-Ventil öffnen (init: 100bar) / FD: Anzahl der Impulse";"INT_185: Druckvorgabe RV-Ventil öffnen (init: 100bar) / FD: Anzahl der Impulse";""
"INT_186: Verzögerungszeit ""SpannSt gespannt"" in [100ms] (initial: 5)";"INT_186: Verzögerungszeit ""SpannSt gespannt"" in [100ms] (initial: 5)";""
