"V01.00.000"
"$_Languages"
"9(1) Englisch (USA)";"7(1) Deutsch (Deutschland)";"513(1) Key"
" ausgeblendet, da sonst auch ein Fertigteil ohne Freigabe wieder eingewechselt wird";" ausgeblendet, da sonst auch ein Fertigteil ohne Freigabe wieder eingewechselt wird";""
" Ein-Palettenbetrieb sollte nur mit Leerpalette möglich sein";" Ein-Palettenbetrieb sollte nur mit Leerpalette möglich sein";""
"      O(    ";"      O(    ";""
"      U     ""MX_Job_In_Maschine""        // Bearbeitetes Programm in der Maschine (nur 1 Job)";"      U     ""MX_Job_In_Maschine""        // Bearbeitetes Programm in der Maschine (nur 1 Job)";""
"      U(    ";"      U(    ";""
"      L     ""DB_PAL_NR"".Platz[1].Pal_Nr";"      L     ""DB_PAL_NR"".Platz[1].Pal_Nr";""
"      L     0                           // Palette auf Übergabeplatz";"      L     0                           // Palette auf Übergabeplatz";""
"      <>I   ";"      <>I   ";""
"      )     ";"      )     ";""
"      )           SPBN  PREN; ";"      )           SPBN  PREN; ";""
"NC-Start";"NC-Start";""
" Wenn keine Seite aktiv, oder wenn alle aktiven Seiten unbearbeitet sind Zeit auf 0 setzen";" Wenn keine Seite aktiv, oder wenn alle aktiven Seiten unbearbeitet sind Zeit auf 0 setzen";""
" z.B. M0";" z.B. M0";""
" bei Prg ende";" bei Prg ende";""
" bei M0";" bei M0";""
" bei Kanal Reset";" bei Kanal Reset";""
" Programm von Maschinenpalette anwählen";" Programm von Maschinenpalette anwählen";""
" schauen, welcher Job gerade läuft";" schauen, welcher Job gerade läuft";""
" Status Maschinenpalette auf in Arbeit setzen";" Status Maschinenpalette auf in Arbeit setzen";""
" PI: M167";" PI: M167";""
" aktive Seite auf bearbeitet setzen";" aktive Seite auf bearbeitet setzen";""
" Wenn eine aktive unbearbeite Seite vorhanden ist, Status Rohteil setzen";" Wenn eine aktive unbearbeite Seite vorhanden ist, Status Rohteil setzen";""
" Wenn die aktiven Seiten alle bearbeitet sind, oder keine Seite aktiv ist Status Fertigteil setzen";" Wenn die aktiven Seiten alle bearbeitet sind, oder keine Seite aktiv ist Status Fertigteil setzen";""
" bei M67 wird die Stückzahl vom gerade aktiven Job erhöht  ";" bei M67 wird die Stückzahl vom gerade aktiven Job erhöht  ";""
" beenden wenn kein Job Rüstplatz oder Übergabeplatz";" beenden wenn kein Job Rüstplatz oder Übergabeplatz";""
" Offset Job";" Offset Job";""
" Stückzahl";" Stückzahl";""
" Losgrösse";" Losgrösse";""
" Speicher in Autobetrieb";" Speicher in Autobetrieb";""
" Wertermittlung für externe Nullpunktverschiebung";" Wertermittlung für externe Nullpunktverschiebung";""
"""I_Kab_Tuer_Entr""";"""I_Kab_Tuer_Entr""";""
"      UN    ""DB_FEHLERMELDUNG"".Meldung._702146_WZW_aktiv";"      UN    ""DB_FEHLERMELDUNG"".Meldung._702146_WZW_aktiv";""
" oder reinigen";" oder reinigen";""
" Tuere zuhalten";" Tuere zuhalten";""
" Zeitbasis 2s laden";" Zeitbasis 2s laden";""
" Prozess Aktiv und";" Prozess Aktiv und";""
" Fehler";" Fehler";""
" oder Reset";" oder Reset";""
" Initialisierung";" Initialisierung";""
" Merker Reset setzen";" Merker Reset setzen";""
" WZW Typ angewaehlt";" WZW Typ angewaehlt";""
" Modul freigegeben";" Modul freigegeben";""
" ""DB_SIEM_BAG"".E_JOG";" ""DB_SIEM_BAG"".E_JOG";""
"Greifer Grundstellung";"Greifer Grundstellung";""
"Greifer 2 Entriegelung";"Greifer 2 Entriegelung";""
"Werkzeugwechslertüre";"Werkzeugwechslertüre";""
"Positionen der Querhubachse auswerten";"Positionen der Querhubachse auswerten";""
"Hub am Magazin";"Hub am Magazin";""
"Hub Grundstellung";"Hub Grundstellung";""
"WZ-Spannerzustände an NC";"WZ-Spannerzustände an NC";""
"      U     ""M_WZW_Aktiv""";"      U     ""M_WZW_Aktiv""";""
"1s";"1s";""
" ""DB_NCPlc_DB70"".WZW_310";" ""DB_NCPlc_DB70"".WZW_310";""
"T-Funktionsersetzung sperren solange WZ-Vorbereitung läuft";"T-Funktionsersetzung sperren solange WZ-Vorbereitung läuft";""
"      O     ""M_WZW_VORG_AUSWERTUNG""";"      O     ""M_WZW_VORG_AUSWERTUNG""";""
"Abspeicher der Bereitstellungsnummer für WZV";"Abspeicher der Bereitstellungsnummer für WZV";""
"Informationen für Regalmagazin (Greiferpositionen)";"Informationen für Regalmagazin (Greiferpositionen)";""
"      U     ""DB_OEM"".OEM_WZW_REttbildaktiv";"      U     ""DB_OEM"".OEM_WZW_REttbildaktiv";""
"      UN    ""M_WZW_Hub_GrdSt""";"      UN    ""M_WZW_Hub_GrdSt""";""
"      R     ""DB_SCHNITTST_OMRON"".OW_WMR_CNC_0.FRG_Regal_Bewegung";"      R     ""DB_SCHNITTST_OMRON"".OW_WMR_CNC_0.FRG_Regal_Bewegung";""
"****************** Zeile 2 ***********************************************";"****************** Zeile 2 ***********************************************";""
"Werkzeugwechsler Hub";"Werkzeugwechsler Hub";""
" und die Greifer stehen richtig";" und die Greifer stehen richtig";""
" Bruch in Parkstellung";" Bruch in Parkstellung";""
"****************** Zeile 3 ***********************************************";"****************** Zeile 3 ***********************************************";""
"Werkzeuggreifer";"Werkzeuggreifer";""
"****************** Zeile 4 ***********************************************";"****************** Zeile 4 ***********************************************";""
"#tx_Tuere_Frg";"#tx_Tuere_Frg";""
"****************** Zeile 5 ***********************************************";"****************** Zeile 5 ***********************************************";""
"Werkzeugspanner";"Werkzeugspanner";""
"****************** Zeile 6 ***********************************************";"****************** Zeile 6 ***********************************************";""
"Y-Achse";"Y-Achse";""
"Spindel";"Spindel";""
"Reset WZW";"Reset WZW";""
"Werkzeuge überprüft";"Werkzeuge überprüft";""
"Verriegelung";"Verriegelung";""
"Spindel entleeren";"Spindel entleeren";""
"Vertikalachse auf Auswechsel- und Einwechselposition Winkelkopf";"Vertikalachse auf Auswechsel- und Einwechselposition Winkelkopf";""
"Vertikalachse auf Einwechselposition";"Vertikalachse auf Einwechselposition";""
"Vertikalachse auf Auswechselposition";"Vertikalachse auf Auswechselposition";""
"Spindel positionieren auf Winkelkopfposition";"Spindel positionieren auf Winkelkopfposition";""
"Greifer 2 entriegeln und verriegeln";"Greifer 2 entriegeln und verriegeln";""
"keine Änderung, dann raus";"keine Änderung, dann raus";""
"nur Werte <>0 speichern";"nur Werte <>0 speichern";""
"---(1)------------------------------------------------------------------------------------";"---(1)------------------------------------------------------------------------------------";""
"---(2)--- Anzahl Leerplätze von aktu. Zwischenspeicher -----------------------------------";"---(2)--- Anzahl Leerplätze von aktu. Zwischenspeicher -----------------------------------";""
"---(2)------------------------------------------------------------------------------------";"---(2)------------------------------------------------------------------------------------";""
"---(1) --- WzwDaten retten für Wzw.Grundstlg.fahren -----------";"---(1) --- WzwDaten retten für Wzw.Grundstlg.fahren -----------";""
"---(1) ---------------------------------------------------------";"---(1) ---------------------------------------------------------";""
" Maximalwert 60 Sekunden";" Maximalwert 60 Sekunden";""
" Zeitbasis 1s laden";" Zeitbasis 1s laden";""
"clr.Lokalvariable";"clr.Lokalvariable";""
" Schrittkettenablauf";" Schrittkettenablauf";""
" Grundstellung / Abfrage Vorbereiten od. Ablegen";" Grundstellung / Abfrage Vorbereiten od. Ablegen";""
" Werkzeug einwechseln aus Magazin in TPU";" Werkzeug einwechseln aus Magazin in TPU";""
" Magazin auf richtiger Position ";" Magazin auf richtiger Position ";""
" Kontrolle Werkzeug vorhanden ";" Kontrolle Werkzeug vorhanden ";""
" PIN-Lock > Blasen, TPU auf Kegelposition, Schrittfolge1: Entriegeln";" PIN-Lock > Blasen, TPU auf Kegelposition, Schrittfolge1: Entriegeln";""
" TPU Kegelposition > Entriegeln ";" TPU Kegelposition > Entriegeln ";""
" PIN-Unlock > TPU in Übergabeposition  ";" PIN-Unlock > TPU in Übergabeposition  ";""
" TPU Übergabeposition >";" TPU Übergabeposition >";""
" Magazinplatz leer > Verriegeln ";" Magazinplatz leer > Verriegeln ";""
" Verriegelt > Kontrolle PIN-Lock, Ende vorbereiten ";" Verriegelt > Kontrolle PIN-Lock, Ende vorbereiten ";""
" *** Ablauf WZ-Bruch-Überwachung  1. Messung starten *** ";" *** Ablauf WZ-Bruch-Überwachung  1. Messung starten *** ";""
" *** Abfrage WZ-Bruch-Überwachung  1. Messung fertig ***";" *** Abfrage WZ-Bruch-Überwachung  1. Messung fertig ***";""
" TPU von Übergabepostion in Grundstellung fahren M288";" TPU von Übergabepostion in Grundstellung fahren M288";""
" TPU weg von Kegel fahren";" TPU weg von Kegel fahren";""
" TPU ist weg von Kegel > TPU zum Magazin ";" TPU ist weg von Kegel > TPU zum Magazin ";""
" TPU in Grundstellung > Ende";" TPU in Grundstellung > Ende";""
" Werkzeug ablegen aus TPU in Magazin";" Werkzeug ablegen aus TPU in Magazin";""
" Wenn TPU nicht auf Übergabe- und Kegelposition in diese Position fahren";" Wenn TPU nicht auf Übergabe- und Kegelposition in diese Position fahren";""
" TPU in Grundstellung > Kontrolle Übergabeplatz belegt";" TPU in Grundstellung > Kontrolle Übergabeplatz belegt";""
" TPU in Übergabeposition";" TPU in Übergabeposition";""
" TPU in Kegelposition";" TPU in Kegelposition";""
" TPU in Ablegeposition > weiter im Schritt 26";" TPU in Ablegeposition > weiter im Schritt 26";""
" Werkzeug ablegen aus TPU in das Magazin";" Werkzeug ablegen aus TPU in das Magazin";""
" Magazinplatz leer und TPU belegt -> weiter in SK27 bzw. SK 36 bei WZB aktiv und 2.Messung noch nicht erfolgt";" Magazinplatz leer und TPU belegt -> weiter in SK27 bzw. SK 36 bei WZB aktiv und 2.Messung noch nicht erfolgt";""
" PIN-Lock locked > entriegeln";" PIN-Lock locked > entriegeln";""
" Entriegelt > TPU ins Magazin fahren";" Entriegelt > TPU ins Magazin fahren";""
" Weiterer Verlauf abhängig von Hex[20] bit 0";" Weiterer Verlauf abhängig von Hex[20] bit 0";""
" TPU in Magazin > Blasluft, verriegeln, aus Kegel ausfahren, SK32";" TPU in Magazin > Blasluft, verriegeln, aus Kegel ausfahren, SK32";""
"                                                          oder Blasluft, verriegeln";"                                                          oder Blasluft, verriegeln";""
" Entriegelt > umspeichern, aus Kegel ausfahren";" Entriegelt > umspeichern, aus Kegel ausfahren";""
" TPU aus Kegel > Blasluft aus, SK33";" TPU aus Kegel > Blasluft aus, SK33";""
" TPU aus Kegel > Blasluft aus, umspeichern, SK33";" TPU aus Kegel > Blasluft aus, umspeichern, SK33";""
" Ende SK00";" Ende SK00";""
" Ablauf für Werkzeugverriegelung SK50/HSK100";" Ablauf für Werkzeugverriegelung SK50/HSK100";""
" Werkzeugbruchüberwachung 2. Messung ";" Werkzeugbruchüberwachung 2. Messung ";""
"*** Ablauf WZ-Bruch-Überwachung 2. Messung starten *** ";"*** Ablauf WZ-Bruch-Überwachung 2. Messung starten *** ";""
"*** Abfrage WZ-Bruch-Überwachung 2. Messung fertig ***  -> weiter in SK00 bzw. SK27";"*** Abfrage WZ-Bruch-Überwachung 2. Messung fertig ***  -> weiter in SK00 bzw. SK27";""
" Schritt 00 : Grundstellung / Abfrage Vorbereiten od. Ablegen  /  *** Werkzeugbruchkontrolle 2. Messung ***";" Schritt 00 : Grundstellung / Abfrage Vorbereiten od. Ablegen  /  *** Werkzeugbruchkontrolle 2. Messung ***";""
"  *** Werkzeugbruchkontrolle 2. Messung Frühstart auslösen ***";"  *** Werkzeugbruchkontrolle 2. Messung Frühstart auslösen ***";""
"      U     ""M_WZ_Spanner_Zu""    05.11.07 auskommentiert HGC (Zeitproblem bei 180er Magazin, da Platzpositionierung länger dauert und Spanner bereits gelöst sein kann)";"      U     ""M_WZ_Spanner_Zu""    05.11.07 auskommentiert HGC (Zeitproblem bei 180er Magazin, da Platzpositionierung länger dauert und Spanner bereits gelöst sein kann)";""
" Wenn Werkzeug bereits abgelegt ist Req_ablegen quittieren";" Wenn Werkzeug bereits abgelegt ist Req_ablegen quittieren";""
"--(Nwk01)--> siehe Nw-Kommentar";"--(Nwk01)--> siehe Nw-Kommentar";""
"TpuMagPos & TpuReleaseTool";"TpuMagPos & TpuReleaseTool";""
"--(Nwk02)--> siehe Nw-Kommentar";"--(Nwk02)--> siehe Nw-Kommentar";""
"und fertig melden";"und fertig melden";""
"""O_TM_TPU_GET_TOOL""";"""O_TM_TPU_GET_TOOL""";""
"""O_TM_MAG_TOOL_UNLOCK""";"""O_TM_MAG_TOOL_UNLOCK""";""
"""O_TM_TPU_TRANSFERPOS""";"""O_TM_TPU_TRANSFERPOS""";""
"Umspeichern Magazin --> Transporteinheit";"Umspeichern Magazin --> Transporteinheit";""
"""O_TM_MAG_TOOL_LOCK""";"""O_TM_MAG_TOOL_LOCK""";""
"*** Wenn: Werkzeugbruchüberwachung angewählt ***";"*** Wenn: Werkzeugbruchüberwachung angewählt ***";""
"*** Dann: Ablauf WZ-Bruch-Überwachung starten ***";"*** Dann: Ablauf WZ-Bruch-Überwachung starten ***";""
"Beschreiben der Werkzeugbruchvariablen";"Beschreiben der Werkzeugbruchvariablen";""
"M-Funktion für WZB-Warnung ausgeben aktiviert";"M-Funktion für WZB-Warnung ausgeben aktiviert";""
"und WZBruch aktiviert";"und WZBruch aktiviert";""
" M36, OEM=2";" M36, OEM=2";""
"Für dieses WZ nur Warnung ausgeben";"Für dieses WZ nur Warnung ausgeben";""
" M37, OEM=3";" M37, OEM=3";""
"*** Dann: Ablauf WZ-Bruch-Überwachung 2. Messung starten ***";"*** Dann: Ablauf WZ-Bruch-Überwachung 2. Messung starten ***";""
"Umspeichern Transporteinheit --> Magazin";"Umspeichern Transporteinheit --> Magazin";""
"""I_TM_TOOL_SPIPOS_LOCKED""";"""I_TM_TOOL_SPIPOS_LOCKED""";""
"""I_TM_TOOL_SPIPOS_UNLKD""";"""I_TM_TOOL_SPIPOS_UNLKD""";""
" 2te Messung";" 2te Messung";""
"  Vorschub-Override Sperren";"  Vorschub-Override Sperren";""
" Eilgang Sperren";" Eilgang Sperren";""
"Vert-Achse auf Wechselposition";"Vert-Achse auf Wechselposition";""
"Spindel auf Wechselposition";"Spindel auf Wechselposition";""
"Freigabe Greifer drehen von Hand";"Freigabe Greifer drehen von Hand";""
"Asup abbrechen wenn Taste wieder losgelassen wird";"Asup abbrechen wenn Taste wieder losgelassen wird";""
" M278";" M278";""
" M-Funktion ruecksetzen";" M-Funktion ruecksetzen";""
" M279";" M279";""
"Ausführbefehle Hand";"Ausführbefehle Hand";""
" Tuere auf";" Tuere auf";""
"""DB_DM_M_FUNKTION"".MX_M[271]    // M-Funktion rueckmelden";"""DB_DM_M_FUNKTION"".MX_M[271]    // M-Funktion rueckmelden";""
"""DB_DM_M_FUNKTION"".MX_M[272]    // M-Funktion rueckmelden";"""DB_DM_M_FUNKTION"".MX_M[272]    // M-Funktion rueckmelden";""
"""MX_H5020""";"""MX_H5020""";""
"""MX_H5021""";"""MX_H5021""";""
"Anforderung Automatik";"Anforderung Automatik";""
"#t_hand_mag_tool_lock";"#t_hand_mag_tool_lock";""
"Ansteuerung Verriegelung für SK50/HSK100";"Ansteuerung Verriegelung für SK50/HSK100";""
"""I_TM_TOOL_CYL_LOCKED""";"""I_TM_TOOL_CYL_LOCKED""";""
"""I_TM_TOOL_CYL_UNLOCKED""";"""I_TM_TOOL_CYL_UNLOCKED""";""
"""M_AUTO_TLOAD_CYL_LOCK""";"""M_AUTO_TLOAD_CYL_LOCK""";""
"""M_AUTO_TLOAD_CYL_UNLOCK""";"""M_AUTO_TLOAD_CYL_UNLOCK""";""
"Überwachung Pin-Lock während des Werkzeugeinlegens";"Überwachung Pin-Lock während des Werkzeugeinlegens";""
" bei Eintrag 0 -> Intervallzeit auf 4h setzen";" bei Eintrag 0 -> Intervallzeit auf 4h setzen";""
" Minuten";" Minuten";""
" Intervallzeit begrenzen auf max. 24h";" Intervallzeit begrenzen auf max. 24h";""
" Restzeit erneut setzen";" Restzeit erneut setzen";""
" *60 um Minuten in Sekunden zu wandeln";" *60 um Minuten in Sekunden zu wandeln";""
" Zaehler um 1 dekrementieren";" Zaehler um 1 dekrementieren";""
" Taktmerker 1s";" Taktmerker 1s";""
" nur wenn Maschine Ein ist";" nur wenn Maschine Ein ist";""
"     U     ""DB_SIEM_BAG"".E_JOG";"     U     ""DB_SIEM_BAG"".E_JOG";""
" JOG";" JOG";""
"RESET: Lesen_1: TNR";"RESET: Lesen_1: TNR";""
"  SET: Lesen_2: WZ_Option und max.SpindelDrehzahl";"  SET: Lesen_2: WZ_Option und max.SpindelDrehzahl";""
"      U     ""I_TM_MAG_PIN_LOCK""";"      U     ""I_TM_MAG_PIN_LOCK""";""
"Greifer 2 Richtung Magazin";"Greifer 2 Richtung Magazin";""
"Positionen der Transporteinheit(TPU) auswerten";"Positionen der Transporteinheit(TPU) auswerten";""
"TPU ist auf Werkzeugkegel gefahren";"TPU ist auf Werkzeugkegel gefahren";""
"TPU ist auf Grundstellung gefahren";"TPU ist auf Grundstellung gefahren";""
"TPU ist zur Übergabeposition gefahren";"TPU ist zur Übergabeposition gefahren";""
"TPU ist zur Magazinpostition gefahren";"TPU ist zur Magazinpostition gefahren";""
"Positionen der Werkzeugverriegelung auswerten";"Positionen der Werkzeugverriegelung auswerten";""
"Werkzeug an Magazinposition ist entriegelt";"Werkzeug an Magazinposition ist entriegelt";""
"Werkzeug an Magazinposition ist verriegelt";"Werkzeug an Magazinposition ist verriegelt";""
"Werkzeug am Rüstplatz ist entriegelt";"Werkzeug am Rüstplatz ist entriegelt";""
"Werkzeug am Rüstplatz ist verriegelt";"Werkzeug am Rüstplatz ist verriegelt";""
"TPU an Übergabe";"TPU an Übergabe";""
"Freigabe TPU in Rettung bei Einrichtbit                    ";"Freigabe TPU in Rettung bei Einrichtbit                    ";""
"Klappe öffnen/schliessen wird im FC273 bearbeitet";"Klappe öffnen/schliessen wird im FC273 bearbeitet";""
"Greifer drehen wird im FC273 bearbeitet";"Greifer drehen wird im FC273 bearbeitet";""
"""Mx_X_ACHSE_WZW_POS""";"""Mx_X_ACHSE_WZW_POS""";""
"#tx_XAx_Frg";"#tx_XAx_Frg";""
"      U     ""DB_NC_PLC"".WZW_PLC_Aktiv";"      U     ""DB_NC_PLC"".WZW_PLC_Aktiv";""
"Magazin Achse";"Magazin Achse";""
"Magazinklappe oeffnen/schliessen";"Magazinklappe oeffnen/schliessen";""
"14te Achse";"14te Achse";""
" Automatischer Reset gesperrt, da nicht immer richtig umgespeichert wird bei Grd-Fahrt";" Automatischer Reset gesperrt, da nicht immer richtig umgespeichert wird bei Grd-Fahrt";""
" Grundprogramm";" Grundprogramm";""
" Zykluszeit für MMS-Vogel";" Zykluszeit für MMS-Vogel";""
" Abfrage ob DB20 vorhanden ist";" Abfrage ob DB20 vorhanden ist";""
" sind DB20 Daten vorhanden, dann in Anwenderprogramm";" sind DB20 Daten vorhanden, dann in Anwenderprogramm";""
"""DB_ACHSE12"".A_Plus";"""DB_ACHSE12"".A_Plus";""
"""DB_ACHSE12"".A_Minus";"""DB_ACHSE12"".A_Minus";""
" für KOMET Kopf Jog Verfahren";" für KOMET Kopf Jog Verfahren";""
" TDS-System";" TDS-System";""
" n.v.";" n.v.";""
"DB224.DBX0.4";"DB224.DBX0.4";""
" n.v";" n.v";""
" Allgemeiner Fehler Linearspeicher";" Allgemeiner Fehler Linearspeicher";""
" RPL Fehler Linearspeicher";" RPL Fehler Linearspeicher";""
" Fahragen fehler";" Fahragen fehler";""
" Endlagen Fehler";" Endlagen Fehler";""
" endlagen Fehler";" endlagen Fehler";""
" schauen, ob Speicher in Auto";" schauen, ob Speicher in Auto";""
" Fehlerüberwachung LS";" Fehlerüberwachung LS";""
" Allgemeine Vorbelegungen";" Allgemeine Vorbelegungen";""
" Speicher hat keine extra Betriebsarten  ";" Speicher hat keine extra Betriebsarten  ";""
" Querschlitten in definierter Stellung";" Querschlitten in definierter Stellung";""
" Anzahl Speicherplätze";" Anzahl Speicherplätze";""
" Anzahl Jobs";" Anzahl Jobs";""
" Palettennummer in Dualportram";" Palettennummer in Dualportram";""
" Fehlermeldung löschen";" Fehlermeldung löschen";""
" 700307 FM, falsche Eingabe";" 700307 FM, falsche Eingabe";""
" Transportbefehl holen";" Transportbefehl holen";""
" kein Befehl";" kein Befehl";""
" Transportbefehl Holen";" Transportbefehl Holen";""
"701328 kein Zugriff auf Rüstplatz wegen SOKO";"701328 kein Zugriff auf Rüstplatz wegen SOKO";""
" holen ok";" holen ok";""
" Transportbefehl bringen";" Transportbefehl bringen";""
" Transportbefehl Bringen";" Transportbefehl Bringen";""
" Sollposition Fahrbefehl";" Sollposition Fahrbefehl";""
" PW in Arbeit";" PW in Arbeit";""
" Suchlauf nach Palette für Maschine";" Suchlauf nach Palette für Maschine";""
" oder PW in Arbeit";" oder PW in Arbeit";""
" SCH 17.12.03 Verriegeln";" SCH 17.12.03 Verriegeln";""
" mit Freigabe Taste PW bestaetigen, dass neue Palette geruestet";" mit Freigabe Taste PW bestaetigen, dass neue Palette geruestet";""
"Spannhydraulik angewaehlt";"Spannhydraulik angewaehlt";""
" Maschine mit Spannhydraulik   ";" Maschine mit Spannhydraulik   ";""
" und Palette mit Spannhydraulik";" und Palette mit Spannhydraulik";""
" Palette Rüstplatz 1 Rohteil";" Palette Rüstplatz 1 Rohteil";""
" Status Änderung";" Status Änderung";""
" RP Tuere nicht offen --> keine Statusänderung RP möglich";" RP Tuere nicht offen --> keine Statusänderung RP möglich";""
" Palette Ruestplatz Rohteil ";" Palette Ruestplatz Rohteil ";""
" E      7.7";" E      7.7";""
" ""I_PW_Ruestpl_UeberG""";" ""I_PW_Ruestpl_UeberG""";""
" *** Vorgang holen bei RS10 ***";" *** Vorgang holen bei RS10 ***";""
" *** Vorgang holen bei RS4 RS5 ***";" *** Vorgang holen bei RS4 RS5 ***";""
" *** Vorgang bringen bei RS10 ***";" *** Vorgang bringen bei RS10 ***";""
" *** Vorgang bringen bei RS4 RS5 ***";" *** Vorgang bringen bei RS4 RS5 ***";""
" Bei Not-Aus Aufträge abbrechen";" Bei Not-Aus Aufträge abbrechen";""
" Rüstplatz-Türe entriegeln";" Rüstplatz-Türe entriegeln";""
" 80er Speicher ";" 80er Speicher ";""
" Leistung für RS-Achse zuschalten";" Leistung für RS-Achse zuschalten";""
" Rüstplatz-Tür Überwachung";" Rüstplatz-Tür Überwachung";""
" Verriegelung Drehstation";" Verriegelung Drehstation";""
" Verriegelung Transport Achse";" Verriegelung Transport Achse";""
"Position Übergabeplatz";"Position Übergabeplatz";""
"Position Speicherplatz 1";"Position Speicherplatz 1";""
"Position Speicherplatz 2";"Position Speicherplatz 2";""
"Position Speicherplatz 3";"Position Speicherplatz 3";""
"Position Speicherplatz 4";"Position Speicherplatz 4";""
"Position Speicherplatz 5 (bei RS5)";"Position Speicherplatz 5 (bei RS5)";""
" keine Palette ";" keine Palette ";""
" Status: Leerpalette ";" Status: Leerpalette ";""
" und nicht von SOKO gesperrt";" und nicht von SOKO gesperrt";""
"Linearachse Fahrauftrag aktivieren";"Linearachse Fahrauftrag aktivieren";""
"Teleskopachse ausfahren";"Teleskopachse ausfahren";""
" Spannsystem ";" Spannsystem ";""
"Hub nach oben";"Hub nach oben";""
"Teleskop nach Grundstellung";"Teleskop nach Grundstellung";""
"Hub nach unten";"Hub nach unten";""
"Fertigmeldung Platz entladen";"Fertigmeldung Platz entladen";""
"--------------------------------------------------------------------------------------";"--------------------------------------------------------------------------------------";""
"Schritt 0";"Schritt 0";""
"Auftrag Maschinenübergabe ablehnen bei Palettenwechsel";"Auftrag Maschinenübergabe ablehnen bei Palettenwechsel";""
"Schritt 1 Fahrauftrag Drehstation";"Schritt 1 Fahrauftrag Drehstation";""
"Schritt 2 Spannsystem abkuppeln";"Schritt 2 Spannsystem abkuppeln";""
"Schritt 3 Spannsystem abkuppeln abfragen";"Schritt 3 Spannsystem abkuppeln abfragen";""
"Schritt 4 Transport ausfahren";"Schritt 4 Transport ausfahren";""
" Spannhydraulik Lösen";" Spannhydraulik Lösen";""
"Schritt 5 Hub heben";"Schritt 5 Hub heben";""
"Schritt 6 Transport-Achse einfahren";"Schritt 6 Transport-Achse einfahren";""
"Schritt 7 Hub abfahren";"Schritt 7 Hub abfahren";""
" Spannhydraulik klemmen";" Spannhydraulik klemmen";""
"Schritt 8 Fertigmelden";"Schritt 8 Fertigmelden";""
"Schritt 1 ";"Schritt 1 ";""
"Auswertung Auftragsart";"Auswertung Auftragsart";""
" Test, keine Überprufungen";" Test, keine Überprufungen";""
"      SPA   B00f";"      SPA   B00f";""
" auf jeden Fall abkuppeln";" auf jeden Fall abkuppeln";""
"Schritt 2 Fahrauftrag Abziehstation an Platz";"Schritt 2 Fahrauftrag Abziehstation an Platz";""
"Schritt 2 ";"Schritt 2 ";""
"Schritt 3 Hub heben";"Schritt 3 Hub heben";""
"Schritt 4 Transport-Achse ausfahren";"Schritt 4 Transport-Achse ausfahren";""
"Schritt 5 Hub senken";"Schritt 5 Hub senken";""
" RS4 große Ausführung, bei RP Auftrag wegschwenken";" RS4 große Ausführung, bei RP Auftrag wegschwenken";""
" RS4 kleine Ausführung, bei UG Auftrag wegschwenken";" RS4 kleine Ausführung, bei UG Auftrag wegschwenken";""
"Schritt 7 Drehstation auf Maschinenplatz fahren";"Schritt 7 Drehstation auf Maschinenplatz fahren";""
"Schritt 8 Schrittkette Ende";"Schritt 8 Schrittkette Ende";""
